userid,newsid
35,100647712
35,100651182
107,100642391
107,100642603
111,100642391
111,100642170
128,100641379
128,100641301
263,100647384
263,100646821
420,100639312
420,100590901
509,100643481
509,100643352
741,100639531
741,100639321
770,100649540
770,100648820
916,100647627
916,100651046
1005,100503394
1005,100499791
1081,100641991
1081,100641856
1155,100658670
1155,100650633
1261,100649275
1261,100658819
1282,100658670
1282,100654455
1347,100503400
1347,100265806
1559,100647745
1559,100651182
1673,100637541
1673,100644706
1926,100648013
1926,100651046
2184,100642333
2184,100642106
2220,100639602
2220,100639531
2263,100644706
2263,100644937
2445,100652447
2445,100652409
3036,100646080
3036,100653785
3080,100652998
3080,100657159
3191,100637136
3191,100637175
3321,100643210
3321,100642745
3514,100640796
3514,100640772
3545,100639865
3545,100639797
3763,100649275
3763,100647594
3857,100490546
3857,100501559
4480,100644095
4480,100643866
4528,100648724
4528,100647659
4668,100655860
4668,100647235
4956,100639278
4956,100639218
5028,100655833
5028,100656714
5157,100647745
5157,100647712
5228,100655104
5228,100653826
5369,100644102
5369,100643915
5475,100643811
5475,100643761
5669,100656591
5669,100655565
5857,100650742
5857,100649924
6128,100637326
6128,100637078
6163,100650231
6163,100648225
6204,100637078
6204,100637013
6409,100653323
6409,100649569
6675,100642988
6675,100642813
6876,100641991
6876,100642085
7007,100656591
7007,100655104
7093,100644102
7093,100657176
7107,100643299
7107,100643267
7186,100647712
7186,100633200
7337,100655181
7337,100651308
7412,100644566
7412,100643226
7576,100642603
7576,100642391
7606,100638521
7606,100638488
7939,100650633
7939,100651502
8024,100649461
8024,100651104
8148,100655104
8148,100658670
8386,100631198
8386,100631112
8410,100638015
8410,100637831
8646,100642618
8646,100642311
8861,100643267
8861,100643203
8998,100641862
8998,100641671
9103,100642684
9103,100641727
9511,100637136
9511,100634859
9525,100645933
9525,100645864
9654,100641991
9654,100641856
9680,100639981
9680,100639865
9841,100650515
9841,100650455
9851,100644102
9851,100643915
9917,100641308
9917,100641290
10069,100642333
10069,100642505
10085,100644911
10085,100642333
10094,100641991
10094,100640878
10136,100644937
10136,100644706
10322,100647226
10322,100647230
10477,100631450
10477,100602695
10521,100658659
10521,100656207
10693,100648915
10693,100644648
10778,100639321
10778,100639264
10818,100646080
10818,100658670
11007,100653515
11007,100652966
11095,100637136
11095,100640893
11138,100646080
11138,100648564
11158,100643915
11158,100644706
11221,100642813
11221,100642391
11316,100650261
